"Session:Name","Record #","Speaker:Name","Orthography","Segment","Notes","situation","GRASP","Morphology"
"Alex.010512","598","Mother","[oh] [boy .]","038:48.501-038:50.250","","","[1|2|COM] [2|0|INCROOT 3|2|PUNCT]","[co|oh] [n|boy .]"
"Alex.010512","599","AD2","[xxx] [this (.)]","038:48.306-038:49.239","","","[] [1|2|DET 2|5|COM 3|5|JCT 4|5|SUBJ 5|0|ROOT 6|5|PUNCT]","[] [pro:dem|this co|ah adv|here pro:sub|we v|go .]"
"Alex.010512","600","AD2","[ah here we go .]","038:50.075-038:51.552","","","[]","[]"
"Alex.010512","601","Alex","[yyy .]","038:51.660-038:55.021","","","[]","[]"
"Alex.010512","602","AD2","[shovel (.)] [no (.)] [shovel .]","038:53.476-038:54.836","","","[1|0|ROOT] [2|3|QUANT] [3|1|OBJ 4|1|PUNCT]","[v|shovel] [qn|no] [n|shovel .]"
"Alex.010512","603","AD2","[the] [shovel]","038:55.021-038:55.633","","","[1|2|DET] [2|0|INCROOT 3|4|SUBJ 4|2|CMOD 5|6|DET 6|4|OBJ 7|2|PUNCT]","[det:art|the] [n|shovel pro:sub|I v|need det:art|the n|shovel .]"
"Alex.010512","604","AD2","[I need the shovel .]","038:55.672-038:56.431","","","[]","[]"
"Alex.010512","605","AD2","[I] [need] [the] [shovel (.)]","038:56.431-038:57.736","","","[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|5|SUBJ 5|2|COMP 6|7|DET 7|5|OBJ 8|2|PUNCT]","[pro:sub|I] [v|need] [det:art|the] [n|shovel v|see det:art|the n|shovel ?]"
"Alex.010512","606","AD2","[see the shovel ?]","038:57.769-038:58.315","","","[]","[]"
"Alex.010512","607","Mother","[go] [get] [the] [shovel .]","038:58.198-038:58.762","","","[1|2|SRL] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT]","[v|go] [v|get] [det:art|the] [n|shovel .]"
"Alex.010512","608","AD2","[go] [over] [there .]","038:58.373-038:58.917","","","[1|0|ROOT] [2|1|JCT] [3|1|JCT 4|1|PUNCT]","[v|go] [adv|over] [adv|there .]"
"Alex.010512","609","Mother","[go] [on .]","038:59.041-038:59.908","","","[1|0|ROOT] [2|1|JCT 3|1|PUNCT]","[v|go] [adv|on .]"
"Alex.010512","610","AD2","[the] [other] [one .]","038:59.403-039:00.102","","","[1|3|DET] [2|3|QUANT] [3|0|INCROOT 4|3|PUNCT]","[det:art|the] [qn|other] [pro:indef|one .]"
"Alex.010512","611","Mother","[there] [ya (replacement:replacement:you)] [go .]","039:00.576-039:01.657","","","[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT]","[adv|there] [pro:per|you] [v|go .]"
"Alex.010512","612","AD2","[there] [ya (replacement:replacement:you)] [go]","039:00.938-039:01.463","","","[1|3|JCT] [2|3|SUBJ] [3|4|SRL 4|0|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT]","[adv|there] [pro:per|you] [v|go v|get pro:dem|that pro:indef|one .]"
"Alex.010512","613","AD2","[get that one .]","039:01.502-039:02.298","","","[]","[]"
"Alex.010512","614","Mother","[yeah .]","039:01.667-039:02.629","","","[1|0|INCROOT 2|1|PUNCT]","[co|yeah .]"
"Alex.010512","615","AD2","[I] [need] [that] [one .]","039:02.590-039:03.484","","","[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ 5|2|PUNCT]","[pro:sub|I] [v|need] [pro:dem|that] [pro:indef|one .]"
"Alex.010512","616","AD2","[here] [we] [go .]","039:03.547-039:04.864","","","[1|3|JCT] [2|3|SUBJ] [3|0|ROOT 4|3|PUNCT]","[adv|here] [pro:sub|we] [v|go .]"
"Alex.010512","617","AD2","[look] [at] [this .]","039:05.602-039:06.638","","","[1|0|ROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT]","[v|look] [prep|at] [pro:dem|this .]"
"Alex.010512","618","AD2","[look] [at] [this .]","039:06.638-039:08.165","","","[1|0|ROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT]","[v|look] [prep|at] [pro:dem|this .]"
"Alex.010512","619","Mother","[wee .]","039:08.165-039:09.743","","","[1|0|INCROOT 2|1|PUNCT]","[adj|wee .]"
"Alex.010512","620","AD2","[alright .]","039:08.595-039:09.780","","","[1|0|INCROOT 2|1|PUNCT]","[co|alright .]"
"Alex.010512","621","AD2","[look] [look (.) )]","039:09.800-039:10.674","","","[1|2|COM] [2|0|ROOT 3|2|OBJ 4|3|OBJ 5|2|JCT 6|2|JCT 7|2|PUNCT]","[co|look] [v|look part|put&PASTP pro:dem|this adv|over adv|here (mt:trail off)]"
"Alex.010512","622","AD2","[put this over here (t:t:trail off]","039:10.791-039:11.568","","","[]","[]"
"Alex.010512","623","AD2","[and] [a] [little] [hole] [over] [there .]","039:11.696-039:12.980","","","[1|0|INCROOT] [2|4|DET] [3|4|MOD] [4|1|COORD] [5|6|JCT] [6|4|NJCT 7|1|PUNCT]","[coord|and] [det:art|a] [adj|little] [n|hole] [adv|over] [adv|there .]"
"Alex.010512","624","AD2","[here's] [s'more (replacement:replacement:some more)] [over] [here .]","039:12.980-039:14.751","","","[1|2|SUBJ 2|0|ROOT] [3|4|QUANT 4|2|PRED] [5|6|JCT] [6|4|NJCT 7|2|PUNCT]","[pro:exist|here~cop|be&3S] [qn|some pro:indef|more] [adv|over] [adv|here .]"
"Alex.010512","625","AD2","[see ?]","039:14.751-039:15.532","","","[1|0|ROOT 2|1|PUNCT]","[v|see ?]"
"Alex.010512","626","AD2","[how's] [that] [a:h ?]","039:16.125-039:17.216","","","[1|3|LINK 2|3|AUX] [3|4|LINK] [4|0|INCROOT 5|4|PUNCT]","[adv:int|how~aux|be&3S] [pro:rel|that] [co|ah ?]"
"Alex.010512","627","AD2","[I] [gotta] [go .]","039:17.216-039:18.495","","","[1|3|SUBJ] [2|3|AUX] [3|0|ROOT 4|3|PUNCT]","[pro:sub|I] [mod:aux|gotta] [v|go .]"
"Alex.010512","628","AD2","[I'd] [like] [to] [stay]","039:18.514-039:19.108","","","[1|3|SUBJ 2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP 6|8|LINK 7|8|SUBJ 8|5|CJCT 9|3|PUNCT]","[pro:sub|I~mod|genmod] [v|like] [inf|to] [cop|stay conj|but pro:sub|I~cop|be&1S (mt:trail off)]"
"Alex.010512","629","AD2","[but I'm (t:t:trail off)]","039:19.175-039:20.086","","","[]","[]"
"Alex.010512","630","Mother","[I] [know I know]","039:20.105-039:20.430","","","[1|2|SUBJ] [2|0|ROOT 3|4|SUBJ 4|2|COMP 5|6|SUBJ 6|4|COMP 7|6|PRED 8|2|PUNCT]","[pro:sub|I] [v|know pro:sub|I v|know pro:per|you~cop|be&PRES adj|busy .]"
"Alex.010512","631","Mother","[I know you're busy .]","039:20.516-039:21.483","","","[]","[]"
"Alex.010512","632","AD2","[if] [I] [don't] [get] [to] [the] [wake .]","039:20.255-039:21.343","","","[1|5|LINK] [2|5|SUBJ] [3|5|AUX 4|3|NEG] [5|0|ROOT] [6|5|JCT] [7|8|DET] [8|6|POBJ 9|5|PUNCT]","[conj|if] [pro:sub|I] [mod|do~neg|not] [v|get] [prep|to] [det:art|the] [n|wake .]"
