,Unnamed: 0,Unnamed: 0.1,Session:Name,Record #,Speaker,Orthography,Segment,Notes,situation,Session,start_time,end_time,start_seconds,end_seconds,pre_utt,pre_speaker,post_starttime,post_utt,post_speaker,pause_after,SpeechAct,ClauseType,comments
556,556,556,Alex.030516,557,Alex,xxx .,018:05.546-018:06.603,,laughing,Alex030516,018:05.546,018:06.603,1085.546,1086.603,and the next one .,Mother,1085.585,and the next one .,Mother,-1.018000000000029,,,
557,557,557,Alex.030516,558,Mother,and the next one .,018:05.585-018:06.566,,,Alex030516,018:05.585,018:06.566,1085.585,1086.566,xxx .,Alex,1086.922,and the next one .,Mother,0.3559999999999945,,,
558,558,558,Alex.030516,559,Mother,and the next one .,018:06.922-018:07.878,,,Alex030516,018:06.922,018:07.878,1086.922,1087.878,and the next one .,Mother,1088.177,and the next one .,Mother,0.29899999999997817,,,
559,559,559,Alex.030516,560,Mother,and the next one .,018:08.177-018:09.358,,,Alex030516,018:08.177,018:09.358,1088.177,1089.358,and the next one .,Mother,1089.375,xxx .,Alex,0.01700000000005275,,,
560,560,560,Alex.030516,561,Alex,xxx .,018:09.375-018:11.351,,laughter,Alex030516,018:09.375,018:11.351,1089.375,1091.351,and the next one .,Mother,1090.281,and the next one .,Mother,-1.0700000000001637,,,
561,561,561,Alex.030516,562,Mother,and the next one .,018:10.281-018:10.824,,,Alex030516,018:10.281,018:10.824,1090.281,1090.8239999999996,xxx .,Alex,1091.351,xxx .,Alex,0.5270000000000437,,,
562,562,562,Alex.030516,563,Alex,xxx .,018:11.351-018:12.623,,laughter,Alex030516,018:11.351,018:12.623,1091.351,1092.623,and the next one .,Mother,1091.57,and the next one .,Mother,-1.053000000000111,,,
563,563,563,Alex.030516,564,Mother,and the next one .,018:11.570-018:12.623,,,Alex030516,018:11.570,018:12.623,1091.57,1092.623,xxx .,Alex,1092.825,and the next one .,Mother,0.20199999999999813,,,
564,564,564,Alex.030516,565,Mother,and the next one .,018:12.825-018:14.106,,,Alex030516,018:12.825,018:14.106,1092.825,1094.106,and the next one .,Mother,1094.106,and the next one .,Mother,0.0,,,
565,565,565,Alex.030516,566,Mother,and the next one .,018:14.106-018:15.511,,,Alex030516,018:14.106,018:15.511,1094.106,1095.511,and the next one .,Mother,1095.511,and the next one,Mother,0.0,,,
566,566,566,Alex.030516,567,Mother,and the next one,018:15.511-018:16.557,,,Alex030516,018:15.511,018:16.557,1095.511,1096.557,and the next one .,Mother,1096.5739999999996,you're cheating xxx,Mother,0.01700000000005275,,,
567,567,567,Alex.030516,568,Mother,you're cheating xxx,018:16.574-018:17.303,,,Alex030516,018:16.574,018:17.303,1096.5739999999996,1097.303,and the next one,Mother,1097.32,and the next one !,Mother,0.016999999999825374,,,
568,568,568,Alex.030516,569,Mother,and the next one !,018:17.320-018:19.096,,,Alex030516,018:17.320,018:19.096,1097.32,1099.096,you're cheating xxx,Mother,1099.096,hooray !,Mother,0.0,,,
569,569,569,Alex.030516,570,Mother,hooray !,018:19.096-018:21.968,,,Alex030516,018:19.096,018:21.968,1099.096,1101.968,and the next one !,Mother,1099.096,xxx yyy wanna do it again ?,Alex,-2.8720000000000714,,,
570,570,570,Alex.030516,571,Alex,xxx yyy wanna do it again ?,018:19.096-018:23.670,,,Alex030516,018:19.096,018:23.670,1099.096,1103.67,hooray !,Mother,1103.67,ooh wow .,Mother,0.0,,,
571,571,571,Alex.030516,572,Mother,ooh wow .,018:23.670-018:24.798,,,Alex030516,018:23.670,018:24.798,1103.67,1104.798,xxx yyy wanna do it again ?,Alex,1104.798,yyy wanna do it again ?,Alex,0.0,,,
572,572,572,Alex.030516,573,Alex,yyy wanna do it again ?,018:24.798-018:26.035,,,Alex030516,018:24.798,018:26.035,1104.798,1106.035,ooh wow .,Mother,1106.413,do you want would like to do the monkey bars again ?,Mother,0.37799999999992906,,,
573,573,573,Alex.030516,574,Mother,do you want would like to do the monkey bars again ?,018:26.413-018:28.516,,,Alex030516,018:26.413,018:28.516,1106.413,1108.516,yyy wanna do it again ?,Alex,1108.636,how <a>bout elephant bars ?,Alex,0.11999999999989085,,,
574,574,574,Alex.030516,575,Alex,how <a>bout elephant bars ?,018:28.636-018:30.721,,,Alex030516,018:28.636,018:30.721,1108.636,1110.721,do you want would like to do the monkey bars again ?,Mother,1110.45,no they're not elephant bars,Mother,-0.27099999999995816,,,
575,575,575,Alex.030516,576,Mother,no they're not elephant bars,018:30.450-018:32.027,,,Alex030516,018:30.450,018:32.027,1110.45,1112.027,how <a>bout elephant bars ?,Alex,1112.045,but that's a good idea .,Mother,0.018000000000029104,,,
576,576,576,Alex.030516,577,Mother,but that's a good idea .,018:32.045-018:33.352,,,Alex030516,018:32.045,018:33.352,1112.045,1113.352,no they're not elephant bars,Mother,1113.368,okay help me .,Alex,0.015999999999849024,,,
577,577,577,Alex.030516,578,Alex,okay help me .,018:33.368-018:36.835,,,Alex030516,018:33.368,018:36.835,1113.368,1116.835,but that's a good idea .,Mother,1115.054,they're called monkey bars .,Mother,-1.780999999999949,,,
578,578,578,Alex.030516,579,Mother,they're called monkey bars .,018:35.054-018:36.438,,,Alex030516,018:35.054,018:36.438,1115.054,1116.438,okay help me .,Alex,1116.835,yyy yyy called elephants bars ?,Alex,0.3969999999999345,,,
579,579,579,Alex.030516,580,Alex,yyy yyy called elephants bars ?,018:36.835-018:38.775,,,Alex030516,018:36.835,018:38.775,1116.835,1118.775,they're called monkey bars .,Mother,1118.945,I don't think so Alex .,Mother,0.1699999999998454,,,
580,580,580,Alex.030516,581,Mother,I don't think so Alex .,018:38.945-018:40.696,,,Alex030516,018:38.945,018:40.696,1118.945,1120.696,yyy yyy called elephants bars ?,Alex,1120.528,xxx .,Alex,-0.16799999999989268,,,
581,581,581,Alex.030516,582,Alex,xxx .,018:40.528-018:42.586,,muffled,Alex030516,018:40.528,018:42.586,1120.528,1122.586,I don't think so Alex .,Mother,1120.798,but leave it to you to change it .,Mother,-1.7880000000000111,,,
582,582,582,Alex.030516,583,Mother,but leave it to you to change it .,018:40.798-018:42.426,,,Alex030516,018:40.798,018:42.426,1120.798,1122.4260000000004,xxx .,Alex,1124.021,ready set go .,Mother,1.5950000000000273,,,
